quote_id,pid,pattern_id,theme,subtheme,quote_full,quote_short,context,confidence_level,ref_id
Q001,P01,P3,identity_mismatch,audience_perception,"Rất Kén Khách: Không phải ai cũng tiêu hoá được - Hàn Lâm. Khách lữ hành thông thường không đủ trình độ để hiểu, trải nghiệm","Hàn lâm, kén khách",Phản ứng đầu tiên với concept card,trung_binh,T_P01_2026Q1_p7
Q002,P01,P4,staging_skepticism,performative_culture,"Cái tour về trải nghiệm văn hoá thực diễn (Hà Tây): Tái hiện hoạt ảnh văn hoá, xây dựng lại bối cảnh - Mất hồn cốt - Không còn thú vị bằng yếu tố con người",Tour Hà Tây mất hồn cốt,So sánh với tour văn hoá biểu diễn (Hà Tây re-enactment),trung_binh,T_P01_2026Q1_p7
Q003,P01,P1,tour_design,guide_quality,"Tour dẫn dắt bởi cá nhân uy tín, có đầy đủ bằng cấp. Một chuyên gia nửa vời - không tham gia",Cần guide uy tín có bằng cấp; chuyên gia nửa vời = không đi,Trả lời 'thay đổi gì để tham gia',som,T_P01_2026Q1_p8
Q004,P01,,context,spend,"2 ngày 3 đêm: 200 triệu/1 gia đình. Dịch vụ tốt, ở resort, ăn uống chi tiêu cá nhân",200tr/2-3 ngày/gia đình,Trả lời 'chi bao nhiêu cho du lịch nội địa',cao,T_P01_2026Q1_p5
Q005,P02,P1,tour_design,overload,"3 ngày 2 đêm: hơi ngộp, cần có các hoạt động nghỉ ngơi, tour cần sự tập trung quá nhiều, bị nhiều, bị mệt",3n2đ ngộp; cần activity nghỉ ngơi; quá nặng,Phản ứng đầu concept card,trung_binh,T_P02_2026Q1_p10
Q006,P02,P3,identity_mismatch,academic_positioning,"Thiên hướng, học tập nghiên cứu - bản thân không quá chú trọng nghiên cứu/học thuật",Tự định vị KHÔNG học thuật,Khi đánh giá target audience của concept,trung_binh,T_P02_2026Q1_p10
Q007,P02,P3,identity_mismatch,target_audience,Phù hợp người đi làm - yêu thích lịch sử văn hoá - mày mò tìm hiểu. Khó đi: Establish gia đình - nghỉ dưỡng đi chơi,Tour cho 'người yêu lịch sử' — khó với gia đình nghỉ dưỡng,Trả lời 'tour này phù hợp với ai',trung_binh,T_P02_2026Q1_p11
Q008,P02,P1,tour_design,hook,Tour chưa có yếu tố hook,Chưa có hook,Mức độ hứng thú với tour,som,T_P02_2026Q1_p10
Q009,P03,P3,identity_mismatch,target_clarity,Không biết các em target ai? Không biết segment ntn?,Concept không rõ target/segment,Reaction đầu concept,trung_binh,T_P03_2026Q1_p3
Q010,P03,P3,identity_mismatch,age_demographic,Sắc thái ngoài 30+. Tín Ngưỡng - Đối tượng tương đối limited,"Concept toát ra 30+, tín ngưỡng - limited audience",Reaction concept,trung_binh,T_P03_2026Q1_p3
Q011,P03,S2,am_thuc,soft_element,Không có ẩm thực (Mềm mại lịch trình). Nhiều Knowledge + Không có Soft Part,Thiếu ẩm thực + soft part,Reaction concept,trung_binh,T_P03_2026Q1_p3
Q012,P03,S1,vietnamese_studies,foreign_visitors,Vietnamese Studies = cho người nước ngoài + Thêm yếu tố soft,Positioning Vietnamese Studies cho khách nước ngoài,Suggest hướng phát triển concept,trung_binh,T_P03_2026Q1_p3
Q013,P03,P1,tour_design,overwhelming,Overwhelming - Quá nhiều sự lịch sử + Qua nhiều di chuyển. Khí Hậu + Mệt Mỏi -> Không Enjoyable,Quá nhiều lịch sử + di chuyển → không enjoy,Final reaction concept,trung_binh,T_P03_2026Q1_p3
Q014,P04,P1,tour_design,knowledge_overload,"Phong phú, hay - tuy nhiên mang nặng kiến thức tìm hiểu, thiếu tính trải nghiệm. Nặng nề về kiến thức. Tham gia hoạt động - đỡ khô khan","Nặng kiến thức, thiếu trải nghiệm",Reaction concept card,trung_binh,T_P04_2026Q1_p13
Q015,P04,P3,identity_mismatch,family_vs_target,"Không phù hợp với người có gia đình. Người ham tìm hiểu - GenZ, sinh viên. Người già, các cụ - đối tượng phù hợp",Concept hợp GenZ/sinh viên/người già; không hợp gia đình có con,Phân tích target audience của concept,trung_binh,T_P04_2026Q1_p13
Q016,P04,P2,social_dependency,friend_influenced,Bị động - ảnh hưởng bởi quyết định của bạn bè,Bị động — đi theo bạn,Trả lời 'tác động bạn bè',trung_binh,T_P04_2026Q1_p13
Q017,P04,P5,destination_credibility,nam_dinh_unknown,Chủ đề - khá hay - Nam định ít khu du lịch,Nam Định 'ít khu du lịch' (perception),Đánh giá concept,som,T_P04_2026Q1_p13
Q018,P04,,context,price_perception,5tr - giá hơi cao,5tr hơi cao,Reaction concept (price mention),cao,T_P04_2026Q1_p13
Q019,P05,P2,social_dependency,friend_required,Phải có bạn bè mới đi. Có người đồng hành đi hay không? Muốn trải nghiệm - cần người đồng hành,Phải có bạn mới đi (single biggest barrier),Hỏi sự đồng hành,trung_binh,T_P05_2026Q1_p15
Q020,P05,P3,identity_mismatch,age_projection,"Dành cho người từ 25 tới 35. Đủ sức trẻ, đủ thời gian để tham gia tour",Target 25-35 (cô tự nhận trong band),Trả lời 'tour này dành cho ai',som,T_P05_2026Q1_p16
Q021,P05,H1,tin_nguong_interest,hau_dong,Có trải nghiệm đi canh hầu... Muốn nghe về hình thức phát triển,Đã canh hầu trước; muốn hiểu phát triển Đạo Mẫu Nam Định,Reaction concept (canh hầu interest),som,T_P05_2026Q1_p16
Q022,P05,P1,tour_design,boring_standard,"Tour thông thường - bị cứng ngắc, tuôn tuôn là hết",Tour thường cứng ngắc; concept mới và hay,Phản ứng đầu concept,som,T_P05_2026Q1_p16
Q023,P05,,context,price_threshold,"Quá 5tr: khả năng không đi. 3tr-5tr: chấp nhận được, mức giá oke. 1tr-2tr: nghi ngờ chất lượng",Ngưỡng 3-5tr OK; <2tr nghi ngờ; >5tr không đi,Mức giá nào chị thấy quá đắt,cao,T_P05_2026Q1_p16
Q024,P06,P4,staging_skepticism,performative_culture,Trung quốc - đi tour - dân kém tiếng anh - làng du lịch - Cảm giác bị diễn,Trải nghiệm 'bị diễn' ở TQ,Trả lời 'có cảm thấy bị diễn',trung_binh,T_P06_2026Q1_p18
Q025,P06,P1,tour_design,forced_group,"Muốn skip ngày đầu tiên, cả nửa ngày thứ 2. Chiều tối t2, t3 - hấp dẫn anh vì mang tính tự trải nghiệm. Bị bắt buộc ở lại với đoàn, là một điều anh không thích",Muốn skip ngày 1 + nửa ngày 2; ghét forced group,Reaction concept + hoạt động prefer,trung_binh,T_P06_2026Q1_p18
Q026,P06,P3,identity_mismatch,age_projection,"35+ tuổi, tương đối nhẹ nhàng",Target 35+ (anh 29 không thấy mình ở đó),Ai là người phù hợp,som,T_P06_2026Q1_p18
Q027,P06,,context,price_threshold,Dưới 15tr = không tham gia. Dưới 10tr = tham gia,<10tr đi; 10-15tr cân nhắc; >15tr không,Mức giá nào anh bỏ qua tour,cao,T_P06_2026Q1_p18
Q028,P07,P1,tour_design,industry_critique,Tour Vnam = cứng nhắc và không có sự thay đổi - stuck bởi logistic. Đóng khung motif. Vdu: Vĩnh hy - Phú Quý => dựa theo Tik Tok review,Tour VN cứng nhắc + đóng khung motif (industry view),Khi nói về kinh nghiệm làm tour outbound,trung_binh,T_P07_2026Q1_p19
Q029,P07,P5,destination_credibility,nam_dinh_thuong_hieu,"Đền Trần: Làm một số sự kiện/tái hiện - chỉ có mỗi đợt đầu năm. Chỉ thấy ấn tượng với trẻ nhỏ và người nước ngoài. Người trưởng thành, không thu hút lắm",Đền Trần chỉ có dịp đầu năm; thu hút trẻ nhỏ + người nước ngoài,Điểm đến nào bị khô khan,trung_binh,T_P07_2026Q1_p21
Q030,P07,S2,am_thuc,food_tour_add,"Thêm Food tour = đặc sản gì, đi đâu. Food tour: Có trải nghiệm tâm linh, xem biểu diễn, thích ăn uống",Thêm Food tour vào concept,Reaction concept,trung_binh,T_P07_2026Q1_p21
Q031,P07,P3,identity_mismatch,target_position,"Mọi thứ dừng ở mức tò mò, hợp hơn với học sinh đi ngoại khoá. Chưa tạo được cảm giác cho người thuần du lịch",Concept dừng ở 'tò mò'; hợp học sinh ngoại khoá hơn người thuần du lịch,Reaction concept,trung_binh,T_P07_2026Q1_p21
Q032,P07,P4,staging_skepticism,positive_staging,"Cho thuê trang phục hầu đồng của Việt Nam để chụp ảnh. Chương trình mở rộng ra: Rất thích chụp ảnh, thấy thú vị hơn",Suggest cho thuê trang phục hầu đồng để chụp ảnh (staging tích cực),Suggest cải tiến concept,som,T_P07_2026Q1_p21
Q033,P07,S1,vietnamese_studies,foreign_emphasis,Chỉ thấy ấn tượng với trẻ nhỏ và người nước ngoài,Văn hoá Đền Trần chỉ thu hút trẻ nhỏ + khách nước ngoài,Đền Trần discussion,som,T_P07_2026Q1_p21
Q034,P08,P3,identity_mismatch,target_family,"'kén người' 'ko trend' 'cũng mới lạ'. Phù hợp với đối tượng: gia đình có con 9-10 tuổi trở lên, nhóm bạn hội đi làm rồi","Kén người, ko trend; target = gia đình con 9-10t+",Phản ứng đầu concept,trung_binh,T_P08_2026Q1_p24
Q035,P08,P5,destination_credibility,thuong_hieu,"'đi Nam Định hiếm khi đi theo cả một hành trình'; Nam Định chưa có độ nhận diện về du lịch, chưa có thương hiệu du lịch được biết đến",Nam Định chưa có thương hiệu du lịch,Reaction concept Nam Định,trung_binh,T_P08_2026Q1_p24
