record_id,pdf_entry_id,pid,record_type,theme,subtheme,record_text,record_short,source_status,context,ref_id
R001,001,P01,Travel style / tour resistance,,,"“Tôi ít khi chọn đi tour vì cảm giác tour thường tiết kiệm, đi chung đông người và hạn chế sở thích cá nhân. Với người có thu nhập cao, họ thường muốn sự riêng tư và tự do hơn.”","“Tôi ít khi chọn đi tour vì cảm giác tour thường tiết kiệm, đi chung đông người và hạn chế sở thích cá nhân. Với người có thu nhập cao, họ thường muốn sự riêng tư và tự do hơn.”","participant quote, edited for clarity","High-income / family-oriented / spiritual-cultural experience; frequent work travel, limited personal leisure travel.",F_P01_2026Q2_r001
R002,002,P01,Premium value expectation,,,"“Nếu đi du lịch với gia đình, tôi sẵn sàng chi nhiều, nhưng đổi lại phải là dịch vụ tốt, chỗ ở tốt và trải nghiệm tương xứng với số tiền bỏ ra.”","“Nếu đi du lịch với gia đình, tôi sẵn sàng chi nhiều, nhưng đổi lại phải là dịch vụ tốt, chỗ ở tốt và trải nghiệm tương xứng với số tiền bỏ ra.”","participant quote, edited for clarity","High-income / family-oriented / spiritual-cultural experience; frequent work travel, limited personal leisure travel.",F_P01_2026Q2_r002
R003,003,P01,Purpose-driven travel,,,"“Một chuyến đi cần có mục tiêu rõ ràng. Ví dụ ở Bồ Đề Đạo Tràng, mục tiêu của tôi là được thiền dưới gốc bồ đề. Nếu chuyến đi không có mục tiêu, tôi sẽ không thấy trọn vẹn.”","“Một chuyến đi cần có mục tiêu rõ ràng. Ví dụ ở Bồ Đề Đạo Tràng, mục tiêu của tôi là được thiền dưới gốc bồ đề. Nếu chuyến đi không có mục tiêu, tôi sẽ không thấy trọn vẹn.”","participant quote, edited for clarity","High-income / family-oriented / spiritual-cultural experience; frequent work travel, limited personal leisure travel.",F_P01_2026Q2_r003
R004,004,P01,Human-centred experience,,,"“Trong du lịch, yếu tố con người phải là trung tâm. Nếu thiếu con người, chuyến đi mất đi cái cốt và không còn cái hồn nữa.”","“Trong du lịch, yếu tố con người phải là trung tâm. Nếu thiếu con người, chuyến đi mất đi cái cốt và không còn cái hồn nữa.”","participant quote, edited for clarity","High-income / family-oriented / spiritual-cultural experience; frequent work travel, limited personal leisure travel.",F_P01_2026Q2_r004
R005,005,P01,Authenticity vs performance,,,“Những trải nghiệm văn hoá được tái hiện lại cho khách xem dễ mất hồn cốt. Nó không thú vị bằng việc mình thật sự gặp con người đang sống trong văn hoá đó.”,“Những trải nghiệm văn hoá được tái hiện lại cho khách xem dễ mất hồn cốt. Nó không thú vị bằng việc mình thật sự gặp con người đang sống trong văn hoá đó.”,"participant quote, edited for clarity","High-income / family-oriented / spiritual-cultural experience; frequent work travel, limited personal leisure travel.",F_P01_2026Q2_r005
R006,006,P01,Concept reaction / niche audience,,,“Concept này rất kén khách và có phần hàn lâm. Khách du lịch thông thường có thể sẽ khó hiểu hoặc khó tiêu hoá hết nội dung.”,“Concept này rất kén khách và có phần hàn lâm. Khách du lịch thông thường có thể sẽ khó hiểu hoặc khó tiêu hoá hết nội dung.”,"participant quote, edited for clarity","High-income / family-oriented / spiritual-cultural experience; frequent work travel, limited personal leisure travel.",F_P01_2026Q2_r006
R007,007,P01,Trust in expert guide,,,"“Nếu có một chuyên gia thật sự am hiểu dẫn dắt, tôi sẽ tham gia để hiểu sâu hơn. Nhưng nếu người dẫn chỉ nửa vời, tôi sẽ không đi.”","“Nếu có một chuyên gia thật sự am hiểu dẫn dắt, tôi sẽ tham gia để hiểu sâu hơn. Nhưng nếu người dẫn chỉ nửa vời, tôi sẽ không đi.”","participant quote, edited for clarity","High-income / family-oriented / spiritual-cultural experience; frequent work travel, limited personal leisure travel.",F_P01_2026Q2_r007
R008,008,P01,Psychological safety,,,"“Với chủ đề tâm linh, người tham gia rất dễ có cảm giác sợ hoặc phòng bị. Tour cần tạo được một vùng an toàn để họ có thể tiếp nhận và đặt câu hỏi.”","“Với chủ đề tâm linh, người tham gia rất dễ có cảm giác sợ hoặc phòng bị. Tour cần tạo được một vùng an toàn để họ có thể tiếp nhận và đặt câu hỏi.”","participant quote, edited for clarity","High-income / family-oriented / spiritual-cultural experience; frequent work travel, limited personal leisure travel.",F_P01_2026Q2_r008
R009,009,P02,Travel motivation,,,"“Khi đi du lịch, tôi thường ưu tiên đi chơi, đến những nơi nổi tiếng và có cảnh đẹp. Tôi không nhất thiết cần hiểu sâu về lịch sử; điều quan trọng là chuyến đi mang lại niềm vui và sự thoải mái.”","“Khi đi du lịch, tôi thường ưu tiên đi chơi, đến những nơi nổi tiếng và có cảnh đẹp. Tôi không nhất thiết cần hiểu sâu về lịch sử; điều quan trọng là chuyến đi mang lại niềm vui...","participant quote, edited for clarity","Working adult; prefers comfort, famous places, light cultural exposure; limited personal leisure travel.",F_P02_2026Q2_r009
R010,010,P02,Decision criteria,,,"“Khi chọn một chuyến đi, tôi quan tâm nhiều nhất đến an ninh, thời tiết, thời gian và chi phí.” MẠCH - Record tổng hợp phỏng vấn khách hàng","“Khi chọn một chuyến đi, tôi quan tâm nhiều nhất đến an ninh, thời tiết, thời gian và chi phí.” MẠCH - Record tổng hợp phỏng vấn khách hàng","participant quote, edited for clarity","Working adult; prefers comfort, famous places, light cultural exposure; limited personal leisure travel.",F_P02_2026Q2_r010
