pid,experience,lens,age_group,residence,occupation,convert_type,convert_condition,decision_style,travel_spend_range,acceptable_tour_price,note,wtp_min,wtp_max,interest_score,prefers_selftour,companion_dependent,price_sensitive,experience_over_resort,cares_about_authenticity,sustainability_awareness,price_sensitivity,cultural_depth_interest
P01,chua_tung,customer,unknown,mien_bac,Chức danh không nêu,conditional,Cần expert guide uy tín có credentials (Maslow theory + chuyên gia thật); KHÔNG chuyên gia nửa vời; storytelling sâu + human-centered,tag-along (gia đình) / independent (business),200tr / 2 ngày 3 đêm / 1 gia đình (premium resort),,Residence source: MẠCH team confirm (2026-05-29).,,,,true,true,,,true,,,
P02,chua_tung,customer,unknown,mien_bac,Trợ lý giám đốc,harder,"Tour cần rút gọn lịch trình (3n2đ ngộp) + có yếu tố hook + giảm tính học thuật + thêm freestyle/giao lưu + activity 'chạm tay' (homestay, cuộc sống cộng đồng)",family-consensus,"4-8tr / chuyến nội địa (4tr không máy bay, 8tr có máy bay)",,Residence source: MẠCH team confirm (2026-05-29).,,,,,,true,,,da_nghe_chua_ro,,
P03,da_tung,industry,unknown,mien_bac,Giảng viên đại học,conditional,Cần clear target/segment + thêm soft elements (đặc biệt là ẩm thực) + giảm cường độ lịch sử + cho phép chọn ngày (không bắt buộc full 3 ngày). Hứng thú positioning Vietnamese Studies cho khách nước ngoài.,self-directed,<10tr (không máy bay) hoặc 15-20tr (có máy bay) / 3 ngày 2 đêm,,Residence source: MẠCH team confirm (2026-05-29).,,,,,,,true,true,hieu_ro_hon,,
P04,chua_tung,customer,unknown,mien_bac,Kinh doanh tự do,passive,Tour cần ở khách sạn đẹp + sáng tham quan / chiều nghỉ + bạn bè rủ thì đi (không tự khởi xướng) + giảm 'nặng kiến thức',family + friends-influenced,"4-7tr (không máy bay, gia đình) / 20-40tr (có máy bay, gia đình)",5tr 'hơi cao' (stated; KHÔNG nêu band cụ thể),Residence source: MẠCH team confirm (2026-05-29).,,,,,true,true,,true,da_nghe_chua_ro,,
P05,chua_tung,customer,18_29,mien_bac,Nhân viên văn phòng,passive,Cần có bạn đồng hành (single biggest barrier); cần người trao đổi thảo luận; giá ≤5tr,friend-dependent,"5-6tr (không máy bay, 3-4 ngày) / 10-20tr (có máy bay)",3-5tr OK; <2tr nghi ngờ chất lượng; >5tr không đi,Residence source: MẠCH team confirm (2026-05-29).,3.0,5.0,,,true,true,true,,da_nghe_chua_ro,,
P06,chua_tung,customer,18_29,mien_bac,Nhân viên ngành xuất khẩu,harder,Cần tự do trải nghiệm cá nhân (anti-tour); cần local immersion thật; KHÔNG bị 'bắt buộc ở lại với đoàn'; giá <10tr; 35+ là target sai cho anh,independent (anti-group),9tr (không máy bay) / 20tr (có máy bay),"Nguyên văn: 'Dưới 15tr = không tham gia. Dưới 10tr = tham gia' — transcript có mâu thuẫn logic; reading likely: <10tr = OK, 10-15tr+ = không. FLAG transcript ambiguity.",Residence source: MẠCH team confirm (2026-05-29).,,,,true,true,true,true,true,da_nghe_chua_ro,,
P07,chua_tung,industry,30_44,mien_bac,Ngành thời trang (cựu ngành du lịch),conditional,Cần food tour add-on + chụp ảnh moments (mặc trang phục hầu đồng) + dịch vụ chuẩn (vệ sinh/lưu trú) + storytelling kết nối với service tourism. Nam Định cần xây thương hiệu trước.,self-directed + industry-eye,15tr / 3-4 ngày nội địa (15tr-30tr+ tự túc nước ngoài),Không hỏi trực tiếp; rate tour 3/5 (có thể lên 5 nếu có người đi trước),Residence source: transcript + MẠCH team confirm (2026-05-29).,,,,,,,,,,,
P08,chua_tung,customer,30_44,mien_bac,Nhân sự ngành tài chính,conditional,Cần key selling point rõ + cảnh đẹp / góc chụp + xây thương hiệu cho Nam Định (chưa có nhận diện du lịch) + thời tiết phù hợp,self-led (cô là người plan + quyết định),12tr / 3 ngày 2 đêm (rẻ không phải ưu tiên),5tr (stated),Residence source: MẠCH team confirm (2026-05-29).,5.0,5.0,,,,,true,true,hieu_ro_hon,,
P09,chua_tung,customer,18_29,mien_bac,Sales xuất khẩu,conditional,Giảm rào cản uy tín Nam Định (chưa nổi tiếng) + tăng câu chuyện dẫn dắt + giữ hoạt động ăn uống tại nhà dân. Giá 5-7tr OK.,self + friend-influenced (3-4 người),"3-5tr (không máy bay) / 5-10tr (có máy bay, hàng quý)",5-7tr hợp lý; >10tr quá đắt; 3tr quá rẻ,Residence source: MẠCH team confirm (2026-05-29).,5.0,7.0,,,true,true,true,true,hieu_ro_hon,,
P10,da_tung,customer,45_plus,mien_bac,Quản lý doanh nghiệp (cựu ngành xuất khẩu),true_target,Cần guide kể chuyện 'dệt được' (KHÔNG 'cơm nguội') + lịch trình nhẹ phù hợp sức khoẻ + add đặc sản địa phương + đi cùng người thân chung mục đích,family-led (con cái là ưu tiên #1),"20-30tr+ (có máy bay) / >20-30tr (không máy bay), 3-4 ngày",Không hỏi trực tiếp,Residence source: MẠCH team confirm (2026-05-29).,,,,,true,,,,da_nghe_chua_ro,,
P11,da_tung,industry,unknown,mien_bac,Phát triển cộng đồng,conditional,Cần đan xen ngắm cảnh / ẩm thực + buổi tối phong phú + 'chạm vào di sản' (KHÔNG chỉ 'nghe') + có yếu tố đóng vai/role-play để immerse,self-directed (coordinator chính trong nhóm),"5tr / 4 ngày (không máy bay, nội địa)",Không hỏi trực tiếp,Residence source: MẠCH team confirm (2026-05-29).,,,,,true,,true,true,hieu_ro_hon,,
P12,da_tung,customer,unknown,mien_nam,Nghỉ hưu,true_target,Cần Nam Định có người tag-along giúp (rào cản nhận diện) + hiểu con người + ẩm thực + điểm mạnh địa phương,"self-organized (cộng đồng phượt, đi với vợ + bạn bè 10+ người)","30tr / 6 ngày (Hà Giang, có máy bay) / 6tr ngắn ngày (cắm trại 3 ngày)",4tr5 / 3 ngày (stated),Residence source: MẠCH team confirm (2026-05-29).,4.5,4.5,,true,true,,true,true,,,
P13,da_tung,industry,unknown,mien_bac,Giảng viên đại học (cựu ngành du lịch),future,Cần 'cá tính hoá' hoặc 'game hoá' tour để tăng immerse + chất lượng lưu trú/ăn uống đủ để đánh giá,self-directed,Không nêu chi tiết,7-8tr/người phù hợp; <10tr cân nhắc,Residence source: MẠCH team confirm (2026-05-29).,7.0,10.0,,,,true,,true,,,
P14,da_tung,lead_user,18_29,mien_nam,Ngành du lịch cộng đồng,true_target,Cần giải logistics (chị ở miền Nam → Nam Định xa) + KHÔNG hàn lâm cho người mới + cùng người bạn quan tâm. Giá 5-6tr deal tốt.,self-directed,4-5tr (3-4 ngày) / 7tr+ (có máy bay),6-8tr phù hợp; 5-6tr deal tốt; >8tr quá mắc,Residence source: transcript + MẠCH team confirm (2026-05-29).,5.0,8.0,,,true,true,true,true,hieu_ro_hon,,
